1E 1048     10 48 12.2 -58 32 06   PSR B1046-58
1E 1841-045 18 41 19.3 -04 56 11   1E 1841-045
1E 2259+586 23 01 08.3 +58 52 44   1E 2259+586
1RXS J1708  17 08 49.0 -40 09 10   1RXS J170849.0-400910
4U 0142+61  01 46 22.4 +61 45 03   4U 0142+61
B0154+61    01 57 49.9 +62 12 26   PSR B0154+61
B0355+54    03 58 53.7 +54 13 14   PSR B0355+54
B0458+46    05 02 04.6 +46 54 06   PSR B0458+46
B0525+21    05 28 52.3 +22 00 01   PSR B0525+21
B0531+21    05 34 31.9 +22 00 52   PSR B0531+21
B0540-69    05 40 11.2 -69 19 54   PSR B0540-69
B0559-05    06 01 59.0 -05 27 51   PSR B0559-05
B0656+14    06 59 48.1 +14 14 22   PSR B0656+14
B0727-18    07 29 32.4 -18 36 43   PSR B0727-18
B0740-28    07 42 49.1 -28 22 44   PSR B0740-28
B0756-15    07 58 29.1 -15 28 09   PSR B0756-15
B0833-45    08 35 20.7 -45 10 35   PSR B0833-45
B1046-58    10 48 12.2 -58 32 06   PSR B1046-58
B1259-63    13 02 47.7 -63 50 09   PSR B1259-63
B1325-43    13 28 06.4 -43 57 44   PSR B1325-43
B1338-62    13 41 42.6 -62 20 21   PSR B1338-62
B1508+55    15 09 25.6 +55 31 32   PSR B1508+55
B1530+27    15 32 10.4 +27 45 49   PSR B1530+27
B1535-56    15 39 14.0 -56 26 25   PSR B1535-56
B1610-50    16 14 11.3 -50 48 03   PSR B1610-50
B1641-45    16 44 49.3 -45 59 09   PSR B1641-45
B1702-19    17 05 36.1 -19 06 39   PSR B1702-19
B1706-44    17 09 42.7 -44 29 08   PSR B1706-44
B1717-16    17 20 25.2 -16 33 34   PSR B1717-16
B1718-35    17 21 32.8 -35 32 50   PSR B1718-35
B1727-33    17 30 32.6 -33 50 39   PSR B1727-33
B1727-47    17 31 42.1 -47 44 35   PSR B1727-47
B1736-29    17 39 34.3 -29 03 03   PSR B1736-29
B1737-30    17 40 33.8 -30 15 43   PSR B1737-30
B1740-31    17 43 36.7 -31 50 22   PSR B1740-31
B1757-24    18 01 00.0 -24 51 28   PSR B1757-24
B1758-03    18 01 22.7 -03 57 55   PSR B1758-03
B1758-23    18 01 19.8 -23 04 44   PSR B1758-23
B1800-21    18 03 51.4 -21 37 07   PSR B1800-21
B1809-173   18 12 07.2 -17 18 29   PSR B1809-173
B1821-11    18 24 29.5 -11 18 43   PSR B1821-11
B1821-24    18 24 32.0 -24 52 11   PSR B1821-24
B1822-09    18 25 30.6 -09 35 22   PSR B1822-09
B1823-13    18 26 13.2 -13 34 47   PSR B1823-13
B1830-08    18 33 40.3 -08 27 31   PSR B1830-08
B1838-04    18 41 05.7 -04 25 20   PSR B1838-04
B1841-05    18 44 05.1 -05 38 34   PSR B1841-05
B1853+01    18 56 10.7 +01 13 21   PSR B1853+01
B1859+01    19 01 34.3 +01 56 38   PSR B1859+01
B1859+07    19 01 38.9 +07 16 35   PSR B1859+07
B1900+06    19 02 50.3 +06 16 33   PSR B1900+06
B1907+00    19 09 35.3 +00 07 58   PSR B1907+00
B1907+03    19 10 09.1 +03 58 28   PSR B1907+03
B1907-03    19 10 29.7 -03 09 55   PSR B1907-03
B1913+10    19 15 30.0 +10 09 44   PSR B1913+10
B1917+00    19 19 50.7 +00 21 40   PSR B1917+00
B1923+04    19 26 24.5 +04 31 32   PSR B1923+04
B1930+22    19 32 22.9 +22 20 52   PSR B1930+22
B1935+25    19 37 01.3 +25 44 14   PSR B1935+25
B1951+32    19 52 58.2 +32 52 41   PSR B1951+32
B1953+50    19 55 18.8 +50 59 55   PSR B1953+50
B2113+14    21 16 13.8 +14 14 21   PSR B2113+14
B2224+65    22 25 52.4 +65 35 34   PSR B2224+65
B2255+58    22 57 57.7 +59 09 15   PSR B2255+58
B2334+61    23 37 05.8 +61 51 02   PSR B2334+61
CXO J1647   16 47 10.2 -45 52 17   CXOU J164710.2-455217
J0205+6449  02 05 37.9 +64 49 43   PSR J0205+6449
J0537-6910  05 37 47.4 -69 10 20   PSR J0537-6910
J0631+1036  06 31 27.5 +10 37 02   PSR J0631+1036
J0633+1746  06 33 54.2 +17 46 13   PSR J0633+1746
J0729-1448  07 29 16.5 -14 48 37   PSR J0729-1448
J1105-6107  11 05 26.2 -61 07 51   PSR J1105-6107
J1119-6127  11 19 14.3 -61 27 49   PSR J1119-6127
J1123-6259  11 23 55.5 -62 59 11   PSR J1123-6259
J1141-3322  11 41 42.8 -33 22 37   PSR J1141-3322
J1357-6429  13 57 02.4 -64 29 30   PSR J1357-6429
J1617-5055  16 17 29.3 -50 55 13   PSR J1617-5055
J1705-3423  17 05 42.4 -34 23 45   PSR J1705-3423
J1737-3137  17 37 04.3 -31 37 21   PSR J1737-3137
J1740+1000  17 40 26.0 +10 00 06   PSR J1740+1000
